product_name,content,photo,score,regdate,order_id,label
유기농 홍고추,너무 신선하고 빛깔도 좋은데 맛있고 유기농이기까지하다!! 최고다!!,,3,,1 ,0
유기농 홍고추,"더 이상 좋을 수가 없다 유기농 홍,파고추!!",,3,,1 ,0
유기농 홍고추,빨간고추가 맵지를 않아서 입맛없을때 된장에 4개를 찍어먹었어요. 싱싱하고 맛있어서,,3,,1 ,0
유기농 홍고추,완전 신선하기보다 몇몇개가 얼어 있는 것같네요~~~다음에 더 신선하게 보내주세요~^^,,5,,1 ,0
유기농 홍고추,지난번 주문 후 상품 너무 좋아서 재주문했어요^^ 맛도 색상도 식감에 향기까지도 최고에요~♡♡♡,,4,,1 ,0
유기농 홍고추,"지난번 주문후 재주문합니다^^ 맛,향기,색감,식감까지 최고네요^^",,4,,1 ,0
유기농 홍고추,작년에 이어 올해도 여기서 유기농 고추 구입했어요 달고 맛납니다~~~~♡,,4,,1 ,0
유기농 홍고추,귀한 유기농 고추 감사히 잘 먹을께요~♡♡♡ 감사합니다^^,,3,,1 ,0
유기농 홍고추,때깔이 장난 아니게 곱고 선명해요,,3,,1 ,0
유기농 홍고추,유기농인데 깨끗해요.,,3,,1 ,0
유기농 홍고추,무르거나 상한거 없이 단단한것들로 잘 받았습니다.,,4,,1 ,0
유기농 홍고추,최상품을 보내주셨네요~♡ 농약없이 고추재배하는게 가장 힘든 농사라는걸 알기에 진심으로 감동하며 받았어요^^ 안심 먹거리 감사드립니다♡♡♡,,3,,1 ,0
유기농 건고추,고추 크기는 작았지만 유기농이라 믿고 먹을만 합니다.,,4,,1 ,0
유기농 건고추,빠른배송에 좋은 상품으로 보내주셔서 감사합니다,,5,,1 ,0
유기농 건고추,제품이 아주 좋네요 ,,5,,1 ,0
유기농 건고추,잘 받았습니다. 고추가 사용하기 편리하네요 ,,5,,1 ,0
유기농 건고추,잘 사용하고 있어요. 눅눅한 고추만 사용하닥 신선한 걸 사용하니 맛도 좋네요 ^^ 자극 적이지 않아서 좋은 것 같아요,,3,,1 ,0
유기농 건고추,잘 건조 됐고 색도 고와요^^,,4,,1 ,0
유기농 건고추,색깔 곱고 아주 청결해요. 꼭지까지 정리해서 주셨네요. 안심하고 먹을 수 있어서 감사합니다.,,4,,1 ,0
유기농 건고추,파삭파삭 마르지 않았아요. 배송은 빨리 왔습니다.,,5,,1 ,0
유기농 건고추,잘 먹었어요. 감사합니다.,,5,,1 ,0
유기농 건고추,원래 농사지어 먹던 고추가 전부 죽어버려서 어쩔 수 없이 구입했는데 이렇게 시꺼먼 고추색 처음봐요 올해 고추가 맞긴한지 유기농이긴 한건지..,,3,,1 ,0
유기농 청양고추,매콤해요. 유기농 청양고추에 기대하는 맵싹한 맛이예요,,5,,1 ,0
유기농 청양고추,싱싱합니다. 일주일 지나도 무르지 않아 너무 좋아요 ,,3,,1 ,0
유기농 청양고추,맛있게 매콤. 유기농 안심. 잘 선택 함,,4,,1 ,0
유기농 청양고추,싱싱하고 매운 청양고추 여러모로 잘 사용하네요. 맛있네요 ,,5,,1 ,0
유기농 청양고추,맵고 맛있어요. 풋내도 안나고 좋아요,,4,,1 ,0
유기농 청양고추,배송 빠르고 싱싱해보여서 맘에 듭니다.,,3,,1 ,0
유기농 청양고추,바로 밭에서 딴듯한 신선함이 좋아요,,4,,1 ,0
유기농 청양고추,저는 매운지 잘 모르겠어요.,,3,,1 ,1
유기농 청양고추,항상 여기서만 주문해요 싱싱함은 두 말 할 것도 없고요. ,,4,,1 ,0
고춧가루,김장때 쓰려고 구매했는데 저렴하게 잘 산거 같아요. 아직 개봉전이라 맛은 모르겠지만 빛깔이 고와서 김장하면 맛있을 것 같아요.,,3,,1 ,0
고춧가루,낱개 포장이라 냉동보관시 꺼내먹기 편해요. 맛은 약간 매운맛이고 색깔도 너무 좋아요. 잘 먹겠습니다. ,,1,,1 ,0
고춧가루,구매평이 좋아 구매했어요. 친정엄마가 좋은 고추가루로 잘 샀다고 좋아하시네요 ,,4,,1 ,0
고춧가루,고추씨도 넉넉히 주셨고 포장상태가 깔끔해서 좋았습니다.,,5,,1 ,0
고춧가루,아주아주 맛있어요 고춧가루가 이렇게 맛있을줄이야ㅋㅋ,,5,,1 ,0
고춧가루,안매운 고춧가루 주문했는데 너무 매워요,,3,,1 ,1
고춧가루,빛깔이 곱고 잘 빻아진 것 같아요 ,,4,,1 ,0
고춧가루,한 근도 안 되는 걸 이 가격에 팔다니 ㅋㅋ 다신 안 사요 ,,3,,1 ,1
고춧가루,색깔이 거무스레하고 중국산 같은데 반품하고싶네요 ,,2,,1 ,1
고춧가루,색갈도 좋고 건강한 기분이듭니다.,,3,,1 ,0
고춧가루,저렴하게 잘 구입해서 김장에도 사용하고 요리에도 잘 사용하고 있습니다. 다 먹고나면 재구매예정입니다.,,1,,1 ,0
무농약 건고추,작년에 비해 색이 선명하진 않은거 같아요,,1,,1 ,1
무농약 건고추,와! 그동안 마른 고추 구입한 것 중에 최고입니다.,,5,,1 ,0
