product_id,nickname,content,photo,score,regdate,order_id,label
1,불꽃심장,너무 신선하고 빛깔도 좋은데 맛있고 유기농이기까지하다!! 최고다!!,,3,,1 ,0
1,비밀의마법사,"더 이상 좋을 수가 없다 유기농 홍,파고추!!",,3,,1 ,0
1,달콤한딸기,빨간고추가 맵지를 않아서 입맛없을때 된장에 4개를 찍어먹었어요. 싱싱하고 맛있어서,,3,,1 ,0
1,강철의심장,완전 신선하기보다 몇몇개가 얼어 있는 것같네요~~~다음에 더 신선하게 보내주세요~^^,,5,,1 ,0
1,무적의전사,지난번 주문 후 상품 너무 좋아서 재주문했어요^^ 맛도 색상도 식감에 향기까지도 최고에요~♡♡♡,,4,,1 ,0
1,은하수탐험가,"지난번 주문후 재주문합니다^^ 맛,향기,색감,식감까지 최고네요^^",,4,,1 ,0
1,파란하늘구름,작년에 이어 올해도 여기서 유기농 고추 구입했어요 달고 맛납니다~~~~♡,,4,,1 ,0
1,신비의요정,귀한 유기농 고추 감사히 잘 먹을께요~♡♡♡ 감사합니다^^,,3,,1 ,0
1,미소의천사,때깔이 장난 아니게 곱고 선명해요,,3,,1 ,0
1,우주선조종사,유기농인데 깨끗해요.,,3,,1 ,0
1,무한상상력,무르거나 상한거 없이 단단한것들로 잘 받았습니다.,,4,,1 ,0
1,별빛의반짝임,최상품을 보내주셨네요~♡ 농약없이 고추재배하는게 가장 힘든 농사라는걸 알기에 진심으로 감동하며 받았어요^^ 안심 먹거리 감사드립니다♡♡♡,,3,,1 ,0
2,열정의탐험자,고추 크기는 작았지만 유기농이라 믿고 먹을만 합니다.,,4,,1 ,0
2,달콤한초콜릿,빠른배송에 좋은 상품으로 보내주셔서 감사합니다,,5,,1 ,0
2,화려한꽃향기,제품이 아주 좋네요 ,,5,,1 ,0
2,산넘어바다건너,잘 받았습니다. 고추가 사용하기 편리하네요 ,,5,,1 ,0
